pollster,poll_id,state,start_date,end_date,DEM,REP,Delta,date,Quarter_2018-4,Quarter_2019-1,Quarter_2019-2,Quarter_2019-3,Quarter_2019-4,Quarter_2020-1,Quarter_2020-2,Quarter_2020-3,Quarter_2020-4,Quarter_2021-2,Quarter_2021-3,Quarter_2021-4,Quarter_2022-1,Quarter_2022-2,Quarter_2022-3,Quarter_2022-4,Quarter_2023-1,Quarter_2023-2,Quarter_2023-3,Quarter_2023-4,Quarter_2024-1,Quarter_2024-2,Quarter_2024-3,Quarter_2024-4,Day_Series,Prior_Delta,Swing
Mitchell,72170,Michigan,10/25/20,10/27/20,52.4,42,44.8,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,45.25,-0.45000000000000284
Marist,72175,Florida,10/25/20,10/27/20,51,46.5,47.75,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,49,-1.25
Morning Consult,72210,National,10/25/20,10/27/20,52,44,46,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,47.25,-1.25
Meeting Street Insights,72397,North Carolina,10/24/20,10/27/20,48,45,48.5,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,48.5,0
TIPP,72082,National,10/23/20,10/27/20,50,45.2,47.6,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,46,1.6000000000000014
Monmouth,72146,Georgia,10/23/20,10/27/20,50,46.333333333333336,48.16666666666667,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,48.8,-0.6333333333333258
Ipsos,72164,National,10/23/20,10/27/20,50.333333333333336,39,44.33333333333333,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,47.6,-3.266666666666673
Global Marketing Research Services,72168,National,10/23/20,10/27/20,52.5,38.5,43,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,44.33333333333333,-1.3333333333333286
SurveyUSA,72171,Minnesota,10/23/20,10/27/20,47,42,47.5,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,43,4.5
Suffolk,72176,National,10/23/20,10/27/20,50.65,43.65,46.5,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,43,3.5
SurveyUSA,72177,Maine CD-2,10/23/20,10/27/20,49.7,46.8,48.55,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,48,0.5499999999999972
SurveyUSA,72178,Maine CD-1,10/23/20,10/27/20,59,40,40.5,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,39,1.5
SurveyUSA,72179,Maine,10/23/20,10/27/20,53,40,43.5,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,43,0.5
Siena/NYT,72215,North Carolina,10/23/20,10/27/20,48,45,48.5,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,48.5,0
Quinnipiac,72219,Florida,10/23/20,10/27/20,45,42,48.5,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,47.75,0.75
Quinnipiac,72220,Iowa,10/23/20,10/27/20,46,47,50.5,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,49.5,1
Quinnipiac,72221,Ohio,10/23/20,10/27/20,48,43,47.5,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,55.849999999999994,-8.349999999999994
Quinnipiac,72222,Pennsylvania,10/23/20,10/27/20,51,44,46.5,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,47,-0.5
Data for Progress,72071,South Carolina,10/22/20,10/27/20,44,50,53,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,53.650000000000006,-0.6500000000000057
Ipsos,72059,North Carolina,10/21/20,10/27/20,49,48,49.5,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,48.5,1
Ipsos,72166,Arizona,10/21/20,10/27/20,47.5,46.5,49.5,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,45.7,3.799999999999997
Ipsos,72167,Florida,10/21/20,10/27/20,48.5,47,49.25,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,48.5,0.75
UMass Amherst/YouGov,72224,National,10/20/20,10/27/20,52.6,43.5,45.45,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,46.5,-1.0499999999999972
Christopher Newport U.,72078,Virginia,10/15/20,10/27/20,53,41,44,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,44.55,-0.5499999999999972
USC Dornsife,72079,National,10/14/20,10/27/20,53.56333333333333,42.06,44.248333333333335,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,45.45,-1.201666666666668
SurveyMonkey,72088,Wyoming,9/30/20,10/27/20,32,66,67,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,68,-1
SurveyMonkey,72089,West Virginia,9/30/20,10/27/20,33,66,66.5,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,66.25,0.25
SurveyMonkey,72090,Wisconsin,9/30/20,10/27/20,55,42.5,43.75,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,45.5,-1.75
SurveyMonkey,72091,Washington,9/30/20,10/27/20,61,37,38,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,38,0
SurveyMonkey,72092,Vermont,9/30/20,10/27/20,67.5,30,31.25,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,32,-0.75
SurveyMonkey,72093,Virginia,9/30/20,10/27/20,55.5,41.5,43,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,44,-1
SurveyMonkey,72094,Utah,9/30/20,10/27/20,43,54,55.5,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,53.25,2.25
SurveyMonkey,72096,Tennessee,9/30/20,10/27/20,43,55,56,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,56,0
SurveyMonkey,72097,South Dakota,9/30/20,10/27/20,42,55.5,56.75,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,55.75,1
SurveyMonkey,72098,South Carolina,9/30/20,10/27/20,44.5,52.5,54,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,53,1
SurveyMonkey,72099,Rhode Island,9/30/20,10/27/20,67,30.5,31.75,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,31.25,0.5
SurveyMonkey,72100,Pennsylvania,9/30/20,10/27/20,52.5,45.5,46.5,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,46.5,0
SurveyMonkey,72102,Oklahoma,9/30/20,10/27/20,40.5,58,58.75,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,58.75,0
SurveyMonkey,72103,Ohio,9/30/20,10/27/20,47.5,50.5,51.5,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,47.5,4
SurveyMonkey,72104,New York,9/30/20,10/27/20,63.5,33.5,35,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,33.699999999999996,1.3000000000000043
SurveyMonkey,72105,Nevada,9/30/20,10/27/20,50.5,48,48.75,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,47,1.75
SurveyMonkey,72106,New Mexico,9/30/20,10/27/20,53,45,46,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,46,0
SurveyMonkey,72107,New Jersey,9/30/20,10/27/20,59.5,36.5,38.5,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,37.95,0.5499999999999972
SurveyMonkey,72108,New Hampshire,9/30/20,10/27/20,56,42.5,43.25,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,45,-1.75
SurveyMonkey,72109,Nebraska,9/30/20,10/27/20,46,51.5,52.75,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,52.75,0
SurveyMonkey,72110,North Dakota,9/30/20,10/27/20,41,58,58.5,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,59,-0.5
SurveyMonkey,72111,North Carolina,9/30/20,10/27/20,51.5,46,47.25,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,49.5,-2.25
SurveyMonkey,72112,Montana,9/30/20,10/27/20,47,50.5,51.75,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,51,0.75
SurveyMonkey,72113,Mississippi,9/30/20,10/27/20,39.5,59,59.75,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,57,2.75
SurveyMonkey,72114,Missouri,9/30/20,10/27/20,45.5,52.5,53.5,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,53.5,0
SurveyMonkey,72115,Minnesota,9/30/20,10/27/20,54.5,43,44.25,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,47.5,-3.25
SurveyMonkey,72116,Michigan,9/30/20,10/27/20,53,43.5,45.25,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,44.8,0.45000000000000284
SurveyMonkey,72117,Maine,9/30/20,10/27/20,56,42.5,43.25,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,43.5,-0.25
SurveyMonkey,72118,Maryland,9/30/20,10/27/20,67,30.5,31.75,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,32,-0.25
SurveyMonkey,72119,Massachusetts,9/30/20,10/27/20,69.5,28.5,29.5,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,29.25,0.25
SurveyMonkey,72120,Louisiana,9/30/20,10/27/20,40,57,58.5,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,58.25,0.25
SurveyMonkey,72121,Kentucky,9/30/20,10/27/20,42,56,57,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,57.25,-0.25
SurveyMonkey,72122,Kansas,9/30/20,10/27/20,47,50.5,51.75,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,51.5,0.25
SurveyMonkey,72123,Indiana,9/30/20,10/27/20,43.5,54.5,55.5,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,55.3,0.20000000000000284
SurveyMonkey,72124,Illinois,9/30/20,10/27/20,57.5,40,41.25,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,44.45,-3.200000000000003
SurveyMonkey,72125,Idaho,9/30/20,10/27/20,40,57.5,58.75,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,59,-0.25
SurveyMonkey,72126,Iowa,9/30/20,10/27/20,49.5,48.5,49.5,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,50.5,-1
SurveyMonkey,72127,Hawaii,9/30/20,10/27/20,63.5,34,35.25,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,35.25,0
SurveyMonkey,72128,Georgia,9/30/20,10/27/20,51,47,48,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,48.16666666666667,-0.1666666666666714
SurveyMonkey,72129,Florida,9/30/20,10/27/20,48.5,49,50.25,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,49.25,1
SurveyMonkey,72130,Delaware,9/30/20,10/27/20,61,37,38,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,36.5,1.5
SurveyMonkey,72131,District of Columbia,9/30/20,10/27/20,88,9.5,10.75,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,11.75,-1
SurveyMonkey,72132,Connecticut,9/30/20,10/27/20,63,34.5,35.75,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,35.75,0
SurveyMonkey,72133,Colorado,9/30/20,10/27/20,60,38.5,39.25,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,39.75,-0.5
SurveyMonkey,72134,California,9/30/20,10/27/20,61,36.5,37.75,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,36.65,1.1000000000000014
SurveyMonkey,72135,Arizona,9/30/20,10/27/20,53,45,46,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,49.5,-3.5
SurveyMonkey,72136,Arkansas,9/30/20,10/27/20,39.5,59,59.75,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,59,0.75
SurveyMonkey,72137,Alabama,9/30/20,10/27/20,39,59,60,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,59.3,0.7000000000000028
SurveyMonkey,72138,Alaska,9/30/20,10/27/20,44,53.5,54.75,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,54.75,0
SurveyMonkey,72095,Texas,9/29/20,10/27/20,48,49.5,50.75,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,50.5,0.25
SurveyMonkey,72101,Oregon,9/29/20,10/27/20,60.5,38,38.75,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,38.5,0.25
CES / YouGov,72234,National,9/29/20,10/27/20,51,42,45.5,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,44.248333333333335,1.2516666666666652
CES / YouGov,72519,Florida,9/29/20,10/27/20,49,47,49,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,50.25,-1.25
CES / YouGov,72520,Georgia,9/29/20,10/27/20,48,47,49.5,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,48,1.5
CES / YouGov,72521,North Carolina,9/29/20,10/27/20,49,45,48,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,47.25,0.75
CES / YouGov,72522,Pennsylvania,9/29/20,10/27/20,52,44,46,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,46.5,-0.5
CES / YouGov,72523,Texas,9/29/20,10/27/20,47,49,51,2020-10-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,50.75,0.25
Landmark Communications,72336,Georgia,10/28/20,10/28/20,47,48,50.5,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,49.5,1
PPP,72187,Georgia,10/27/20,10/28/20,48,46,49,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,50.5,-1.5
Gravis Marketing (2020 and earlier),72192,Ohio,10/27/20,10/28/20,47,49,51,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,51.5,-0.5
RMG Research,72229,Texas,10/27/20,10/28/20,46,50,52,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,51,1
Gravis Marketing (2020 and earlier),72231,Nevada,10/27/20,10/28/20,50,44,47,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,48.75,-1.75
Harris Poll,72238,National,10/27/20,10/28/20,54,46,46,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,45.5,0.5
Cardinal Point Analytics (CardinalGPS),72321,North Carolina,10/27/20,10/28/20,45.9,48.05,51.075,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,48,3.075000000000003
East Carolina University,72332,North Carolina,10/27/20,10/28/20,50.32,47.6,48.64,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,51.075,-2.4350000000000023
Gravis Marketing (2020 and earlier),72498,Texas,10/27/20,10/28/20,45,50,52.5,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,52,0.5
Redfield & Wilton Strategies,72733,Florida,10/27/20,10/28/20,50,46,48,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,49,-1
Swayable,72788,National,10/27/20,10/28/20,52.8,45.6,46.400000000000006,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,46,0.4000000000000057
Wick,72795,Florida,10/27/20,10/28/20,47.2,50.1,51.45,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,48,3.450000000000003
Wick,72796,North Carolina,10/27/20,10/28/20,47.2,49.4,51.099999999999994,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,48.64,2.4599999999999937
Wick,72797,Ohio,10/27/20,10/28/20,46.5,49.4,51.45,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,51,0.45000000000000284
Wick,72798,Georgia,10/27/20,10/28/20,46.9,49.4,51.25,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,49,2.25
Wick,72799,Pennsylvania,10/27/20,10/28/20,46.9,49,51.05,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,46,5.049999999999997
Wick,72800,Michigan,10/27/20,10/28/20,48.4,48.1,49.85,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,45.25,4.600000000000001
Gravis Marketing (2020 and earlier),72158,Arizona,10/26/20,10/28/20,48,44,48,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,46,2
J.L. Partners,72163,National,10/26/20,10/28/20,55,41,43,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,46.400000000000006,-3.4000000000000057
Gravis Marketing (2020 and earlier),72193,Alaska,10/26/20,10/28/20,43,52,54.5,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,54.75,-0.25
Rasmussen,72195,National,10/26/20,10/28/20,48,47,49.5,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,43,6.5
Morning Consult,72211,National,10/26/20,10/28/20,52,43,45.5,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,49.5,-4
AtlasIntel,72216,National,10/26/20,10/28/20,50.9,46.2,47.650000000000006,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,45.5,2.1500000000000057
ARG,72226,New Hampshire,10/26/20,10/28/20,58,39,40.5,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,43.25,-2.75
SurveyMonkey,72241,National,10/26/20,10/28/20,51.5,46,47.25,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,47.650000000000006,-0.4000000000000057
The Political Matrix/The Listener Group,74945,Florida,10/26/20,10/28/20,48.2,47.7,49.75,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,51.45,-1.7000000000000028
HarrisX,72227,National,10/25/20,10/28/20,52.5,47.5,47.5,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,47.25,0.25
Marist,72331,North Carolina,10/25/20,10/28/20,51.5,46,47.25,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,51.099999999999994,-3.8499999999999943
Trafalgar Group,72340,Michigan,10/25/20,10/28/20,46.6,49.1,51.25,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,49.85,1.3999999999999986
Trafalgar Group,72342,Florida,10/25/20,10/28/20,46.9,49.6,51.35,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,49.75,1.6000000000000014
Trafalgar Group,72396,Arizona,10/25/20,10/28/20,46.4,48.9,51.25,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,48,3.25
EPIC/MRA,72483,Michigan,10/25/20,10/28/20,48,41,46.5,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,51.25,-4.75
TIPP,72194,National,10/24/20,10/28/20,50.15,45.05,47.45,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,47.5,-0.04999999999999716
Monmouth,72214,Florida,10/24/20,10/28/20,50.333333333333336,45.333333333333336,47.5,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,51.35,-3.8500000000000014
U. New Hampshire,72230,New Hampshire,10/24/20,10/28/20,53,45,46,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,40.5,5.5
Nielson Brothers,72794,South Dakota,10/24/20,10/28/20,40,55,57.5,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,56.75,0.75
Auburn University at Montgomery,72223,Alabama,10/23/20,10/28/20,38.9,58.1,59.6,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,60,-0.3999999999999986
Muhlenberg,72401,Pennsylvania,10/23/20,10/28/20,49,44,47.5,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,51.05,-3.549999999999997
Angus Reid,72408,National,10/23/20,10/28/20,53,45,46,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,47.45,-1.4500000000000028
Kiaer Research,72311,Michigan,10/21/20,10/28/20,53.5,40.6,43.55,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,46.5,-2.950000000000003
Bluegrass Community and Technical College,72239,Kentucky,10/16/20,10/28/20,38.8,52,56.6,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,57,-0.3999999999999986
USC Dornsife,72190,National,10/15/20,10/28/20,53.36333333333333,42.20666666666666,44.42166666666667,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,46,-1.5783333333333331
University of Wyoming,72334,Wyoming,10/8/20,10/28/20,31,59,64,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,67,-3
SurveyMonkey,72242,Wyoming,10/1/20,10/28/20,30.5,68,68.75,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,64,4.75
SurveyMonkey,72243,West Virginia,10/1/20,10/28/20,32,66,67,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,66.5,0.5
SurveyMonkey,72244,Wisconsin,10/1/20,10/28/20,55,42.5,43.75,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,43.75,0
SurveyMonkey,72245,Washington,10/1/20,10/28/20,61.5,36,37.25,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,38,-0.75
SurveyMonkey,72246,Vermont,10/1/20,10/28/20,68.5,29,30.25,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,31.25,-1
SurveyMonkey,72247,Virginia,10/1/20,10/28/20,55.5,42,43.25,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,43,0.25
